"","X","user","date","text","id","country_name_short","party_id","party_name_short","party_name","party_name_english","translation","censorship_label","closed_society_label","economic_label","euroscepticism_label","immigration_label","partisan_state_label","power_concentration_label"
"11",151468,"partiarazem","2023-04-02 12:27:45","💬Każde oddane mieszanie trzeba wyposażyć - kupić meble,  kuchenkę, piekarnik. Wydane przez Polaków pieniądze będą nakręcać naszą gospodarkę, tworzyć miejsca pracy, stymulować mały i średni biznes. A jednocześnie inwestycje w publiczne mieszkalnictwo dadzą ludziom wolność wyboru",1642504090033827840,"POL","2790.0","LR","Lewica Razem","Left Together","💬Each mixing plant needs to be equipped - buy furniture, a stove, an oven. The money spent by Poles will boost our economy, create jobs and stimulate small and medium-sized businesses. At the same time, investments in public housing will give people freedom of choice",0,0,0,0,0,0,0
"12",951566,"neos_eu","2013-12-07T12:08:59.000Z","@HansArsenovic ja, die anderen… *hüstel* (da war ja was) @Gruene_Austria @HubertSickinger",409293458701312000,"AUT","2255.0","NEOS","NEOS – Das Neue Österreich","NEOS -- The New Austria","@HansArsenovic yes, the others… *cough* (there was something there) @Gruene_Austria @HubertSickinger",0,0,0,0,0,0,0
"13",317513,"LegaSalvini","5/3/19 18:04","#26maggiovotoLega https://www.facebook.com/story.php?story_fbid=2341838922525687&id=422703967772535",1124374200544833536,"ITA","1436","LN","Lega Nord","North League","#26maggiovotoLega https://www.facebook.com/story.php?story_fbid=2341838922525687&id=422703967772535",0,0,0,0,0,0,0
"14",546556,"LibDems","2014-05-14T11:55:14.000Z","@Shukezz Thanks for your support Mark",466547282838818816,"GBR","659.0","Lib","Liberals","Liberals","@Shukezz Thanks for your support Mark",0,0,0,0,0,0,0
"15",197574,"pisorgpl","2020-10-05 18:57:24","Politycy #PiS jutro (06.10) w mediach:
08:15 #TVP1 - @JoannaLichocka 
08:30 @wirtualnapolska - @radekfogiel https://twitter.com/pisorgpl/status/1313191576164798464/photo/1",1313191576164798464,"POL","528.0","PiS","Prawo i Sprawiedliwość","Law and Justice","#PiS politicians tomorrow (06/10) in the media:
08:15 #TVP1 - @JoannaLichocka 
08:30 @wirtualnapolska - @radekfogiel https://twitter.com/pisorgpl/status/1313191576164798464/photo/1",0,0,0,0,0,0,0
"16",526535,"pdnetwork","2/6/16 16:11","L'intervento di @PLCastagnetti a #classedem in diretta streaming sul sito del Pd http://tinyurl.com/gktd36u https://twitter.com/pdnetwork/status/696003311795888131/photo/1",696003311795888128,"ITA","382","PD","Partito Democratico","Democratic Party","@PLCastagnetti's speech at #classedem live streaming on the PD website http://tinyurl.com/gktd36u https://twitter.com/pdnetwork/status/696003311795888131/photo/1",0,0,0,0,0,0,0
"17",113103,"Platforma_org","2017-02-09 18:26:07",".@SchetynadlaPO: PiS tego nie rozumie. Ciągle szuka wrogów. Taką polityką nic się nie zbuduje. #exposeMSZ",829758292184424320,"POL","512.0","PO","Platforma Obywatelska","Civic Platform",".@SchetynadlaPO: PiS doesn't understand it. He is constantly looking for enemies. Nothing will be built with this policy. #exposeMSZ",0,0,0,0,0,0,0
"18",210653,"pisorgpl","2022-09-04 15:32:15","Prezes #PiS J. #Kaczyński w #StalowaWola: Walka z inflacją – mierzy się z tym cały świat. Rząd #PiS także prężnie działa, aby jak najbardziej łagodzić skutki, z którymi boryka się każdy obywatel. Ustalamy niższe ceny oraz obniżamy podatki. #DobryRządNaTrudneCzasy",1566449069060493312,"POL","528.0","PiS","Prawo i Sprawiedliwość","Law and Justice","President of #PiS J. #Kaczyński in #StalowaWola: Fight against inflation - the whole world is facing it. The #PiS government is also working dynamically to alleviate as much as possible the effects that every citizen faces. We set lower prices and reduce taxes. #GoodGovernmentForDifficultTimes",0,0,0,0,0,0,0
"19",924524,"SPOE_at","2014-05-12T19:26:46.000Z","Wir müssen für neue Solidarität in Europa sorgen! @EugenAFreund bei #p4wahlarena",465936135894864000,"AUT","973.0","SPO","Sozialdemokratische Partei Österreichs","Social Democratic Party of Austria","We must ensure new solidarity in Europe! @EugenAFreund at #p4wahlarena",0,0,0,0,0,0,0
"20",733350,"RNational_off","2016-12-06T14:08:41.000Z",".@f_philippot : ""Les politiques, de droite et de gauche, ont laissé se développer des foyers d'islamisme et ont ouvert les frontières."" @LCI",806138296179032064,"FRA","270.0","FN","Rassemblement National","National Rally",".@f_philippot: “Politicians, right and left, have allowed centers of Islamism to develop and have opened the borders.” @LCI",0,0,0,0,0,0,0
"21",921030,"udi_off","2018-10-29T21:27:55.000Z","Communiqué de @francletkarine &amp; @pascalbrindeau: Réforme de la fonction publique : le gouvernement ne pourra réformer sans les fonctionnaires,  nous sommes inquiets de l’absence de dialogue social condition indispensable de la réussite de toute réforme. ""https://t.co/olDJIwebng",1057021234024726400,"FRA","2273.0","UDI","Union des démocrates et indépendants","Union of Democrats and Independents","Press release from @francletkarine & @pascalbrindeau: Civil service reform: the government will not be able to reform without civil servants, we are worried about the absence of social dialogue, an essential condition for the success of any reform. ""https://t.co/olDJIwebng",0,0,0,0,0,0,0
"22",465640,"SI_sinistra","2/1/23 17:36","💥📚 Stesso lavoro, stessa paga.
No allo #SpaccaScuola di Valditara.

Seguici in diretta! 👇🏼
https://fb.watch/iqlNQupjQ7/ https://twitter.com/SI_sinistra/status/1620838538614038529/photo/1",1620838538614038528,"ITA","465","S","Sinistra","Left","💥📚 Same job, same pay.
No to the #SpaccaScuola of Valditara.

Follow us live! 👇🏼
https://fb.watch/iqlNQupjQ7/ https://twitter.com/SI_sinistra/status/1620838538614038529/photo/1",0,0,0,0,0,0,0
"23",937097,"diegruenen","2014-08-04T12:41:36.000Z","@Xoph_vienna @msulzbacher @seb_rein http://t.co/acLQnVAnoZ",496274756627624000,"AUT","1429.0","Gruene","Die Grünen – Die Grüne Alternative","The Greens -- The Green Alternative","@Xoph_vienna @msulzbacher @seb_rein http://t.co/acLQnVAnoZ",0,0,0,0,0,0,0
"24",551252,"LibDems","2015-03-30T17:30:09.000Z","There are 38 days to go. Look left, look right then cross with the Liberal Democrats #GE2015 http://t.co/RyxI34jUdv",582595683783311360,"GBR","659.0","Lib","Liberals","Liberals","There are 38 days to go. Look left, look right then cross with the Liberal Democrats #GE2015 http://t.co/RyxI34jUdv",0,0,0,0,0,0,0
"25",436765,"Mov5Stelle","1/11/24 13:00","E se ne vantano pure... https://twitter.com/Mov5Stelle/status/1745430359351644441/photo/1",1745430359351644416,"ITA","2155","M5S","Movimento 5 Stelle","Five Star Movement","And they even brag about it... https://twitter.com/Mov5Stelle/status/1745430359351644441/photo/1",0,0,0,0,0,0,0
"26",702511,"theSNP","2020-11-30T16:11:12.000Z","NS: ""As an independent country, we can be bridge-builders too. A bridge between the UK and Europe.

Helping to create economic opportunity, deepen understanding and bring people closer together."" #SNP20",1333443471835852800,"GBR","1284.0","SNP","Scottish National Party – Pàrtaidh Nàiseanta na h-Alba","Scottish National Party","NS: ""As an independent country, we can be bridge-builders too. A bridge between the UK and Europe.

Helping to create economic opportunity, deepen understanding and bring people closer together."" #SNP20",0,0,0,0,0,0,0
"27",672478,"theSNP","2013-08-01T13:24:48.000Z","Transmission charging announcement welcomed as 'step in the right direction' http://t.co/zN8QmW6JzD #renewables",362926889687465984,"GBR","1284.0","SNP","Scottish National Party – Pàrtaidh Nàiseanta na h-Alba","Scottish National Party","Transmission charging announcement welcomed as 'step in the right direction' http://t.co/zN8QmW6JzD #renewables",0,0,0,0,0,0,0
"28",548233,"LibDems","2014-10-07T08:40:21.000Z","Watch Lib Dem member Prue Bray's barnstorming speech in the debate on men's (not women's) football https://t.co/pFDE6B0fmv",519406863767838720,"GBR","659.0","Lib","Liberals","Liberals","Watch Lib Dem member Prue Bray's barnstorming speech in the debate on men's (not women's) football https://t.co/pFDE6B0fmv",0,0,0,0,0,0,0
"29",486825,"europaverde_it","5/18/21 8:20","In questa pandemia è emerso un evidente problema con il nostro regionalismo. In situazioni di questo tipo deve decidere lo Stato. La politica in Italia ha un problema di miopia e molti faticano ad avere un approccio responsabile. @AngeloBonelli1 #CoffeeBreakLa7 https://twitter.com/europaverde_it/status/1394568663672426501/photo/1",1394568663672426496,"ITA","910","FdV","Federazione dei Verdi","Federation of the Greens","In this pandemic, a clear problem with our regionalism has emerged. In situations of this type the State must decide. Politics in Italy has a problem of short-sightedness and many struggle to have a responsible approach. @AngeloBonelli1 #CoffeeBreakLa7 https://twitter.com/europaverde_it/status/1394568663672426501/photo/1",0,0,0,0,0,0,0
"30",301549,"LegaSalvini","2/19/18 19:05","Elezioni 2018, Salvini: «Non vado da Fazio perché mi sta sulle p... Chi vuole Tajani premier voti Fi» https://fb.me/UV39xjPg",965663617420021632,"ITA","1436","LN","Lega Nord","North League","2018 elections, Salvini: «I don't go to Fazio because he bothers me... Whoever wants Tajani as prime minister votes Fi» https://fb.me/UV39xjPg",0,0,0,0,1,1,1
"31",140802,"partiarazem","2016-10-06 14:46:57","@JHarlukowicz #CzarnyProtest wymyśliła Gocha. Za to Strajk Kobiet był zrobiony przez panią Martę Lempart. A nagłośniony przez Krystynę Jandę",784042266172264320,"POL","2790.0","LR","Lewica Razem","Left Together","@JHarlukowicz #CzarnyProtest was invented by Gocha. However, the Women's Strike was organized by Mrs. Marta Lempart. And voiced by Krystyna Janda",0,0,0,0,0,0,0
"32",729366,"RNational_off","2016-03-24T22:27:59.000Z",".@f_philippot : ""Le PNR va diluer les moyens du Renseignement sur des millions d'Européens, c'est inefficace."" #GrandSoir3",713130265778987008,"FRA","270.0","FN","Rassemblement National","National Rally",".@f_philippot: ""The PNR will dilute Intelligence resources for millions of Europeans, it is ineffective."" #GrandEvening3",0,0,0,0,0,0,0
"33",720512,"RNational_off","2013-12-03T10:59:44.000Z","Florian Philippot sur Canal + http://t.co/uZI33UqbWO",407826478085050368,"FRA","270.0","FN","Rassemblement National","National Rally","Florian Philippot on Canal + http://t.co/uZI33UqbWO",0,0,0,0,0,0,0
"34",829289,"modem","2012-05-10T15:48:42.000Z","""Il peut y avoir des initiatives européennes de croissance, comme les eurobonds."" @Bayrou #legislatives #centre http://t.co/SdRLLZhJ",200613341255835648,"FRA","509.0","UDF|MD","Union pour la démocratie française | Mouvement démocrate","Union for French Democracy | Democratic Movement","“There may be European growth initiatives, such as Eurobonds.” @Bayrou #legislatives #centre http://t.co/SdRLLZhJ",0,0,0,0,0,0,0
"35",907506,"renaissance","2018-02-02T17:36:44.000Z","L’administration doit s’adapter à ses usagers, non l’inverse.

C'est une révolution du quotidien qui a été votée cette semaine à l'Assemblée nationale : l'État se modernise pour tendre vers une société basée sur la confiance. 🤝

En savoir plus ➜ https://t.co/RGEMxUttxV https://t.co/En4TtXdFDp",959480721567084416,"FRA","2643.0","REM|R","La République En Marche! | Renaissance","The Republic Onwards! | Renaissance","The administration must adapt to its users, not the other way around.

It is a daily revolution that was voted on this week in the National Assembly: the State is modernizing to move towards a society based on trust. 🤝

Learn more ➜ https://t.co/RGEMxUttxV https://t.co/En4TtXdFDp",0,0,0,0,0,0,0
"36",395249,"LegaSalvini","7/23/22 20:06","Si parte Amici!
Il Capitano a Domodossola apre la campagna elettorale!
E il 25 settembre riportiamo in alto l’Italia!
https://www.facebook.com/photo.php?fbid=606382937510069&set=a.503132404501790&type=3 https://twitter.com/LegaSalvini/status/1550935303073980418/photo/1",1550935303073980416,"ITA","1436","LN","Lega Nord","North League","Let's go friends!
The Captain opens the electoral campaign in Domodossola!
And on September 25th we will bring Italy back to the top!
https://www.facebook.com/photo.php?fbid=606382937510069&set=a.503132404501790&type=3 https://twitter.com/LegaSalvini/status/1550935303073980418/photo/1",0,0,0,0,0,0,0
"37",27389,"czKSCM","2018-03-01 08:14:00","Podepište, že nás ve vládě nepřehlasujete, pak se s vámi možná dohodneme. To je jeden z požadavků ČSSD na hnutí... https://fb.me/2FT4dBG9Z",969123576115843200,"CZE","1173.0","KSCM","Komunistická strana Cech a Moravy","Communist Party of Bohemia and Moravia","Sign that you do not overrule us in the government, then maybe we can come to an agreement with you. This is one of the demands of the ČSSD for the movement... https://fb.me/2FT4dBG9Z",0,0,0,0,0,1,0
"38",991603,"neos_eu","2021-09-21T08:44:43.000Z","„Wir wollen als gemeinsames Ziel eine Immunitätsrate von 75% bei den Ü-12-Jährigen und dann lassen wir die Maßnahmen, vor allem an den Schulen, fallen.“ @BMeinl",1440235532101951488,"AUT","2255.0","NEOS","NEOS – Das Neue Österreich","NEOS -- The New Austria","“We want an immunity rate of 75% for those over 12 as a common goal and then we will drop the measures, especially in schools.” @BMeinl",0,0,0,0,0,0,0
"39",971805,"neos_eu","2017-02-10T09:50:39.000Z","#Followerpower!
Könnte jemand der Partei die seit x Jahren den Wirtschaftsminister stellt helfen? https://t.co/NWVkz7YqJ8 #lnk",829990956397105152,"AUT","2255.0","NEOS","NEOS – Das Neue Österreich","NEOS -- The New Austria","#Followerpower!
Could someone help the party that has been the economics minister for x years? https://t.co/NWVkz7YqJ8 #lnk",0,0,0,0,0,1,1
"40",545190,"LibDems","2013-06-24T14:29:28.000Z",".@dannyalexander announces massive expansion of Troubled Families programme http://t.co/0ozihsggRT",349172426103476224,"GBR","659.0","Lib","Liberals","Liberals",".@dannyalexander announces massive expansion of Troubled Families programme http://t.co/0ozihsggRT",0,0,0,0,0,0,0
"41",574057,"Plaid_Cymru","2011-10-23T11:19:24.000Z","""our civic nationalism built on principle that our respective nations are no better than any other, they are just as good"" - @ElinJonesPlaid",128067996894773248,"GBR","311.0","Plaid","Plaid Cymru","Plaid Cymru","""our civic nationalism built on principle that our respective nations are no better than any other, they are just as good"" - @ElinJonesPlaid",0,0,0,0,0,0,0
"42",820221,"modem","2012-01-14T09:16:50.000Z","Pour livetweeter la table ronde ""Produire en France"" utilisezle hashtag #TR1 http://t.co/RgsOCOce #agenda2020",158115343414460416,"FRA","509.0","UDF|MD","Union pour la démocratie française | Mouvement démocrate","Union for French Democracy | Democratic Movement","To livetweet the round table “Producing in France” use the hashtag #TR1 http://t.co/RgsOCOce #agenda2020",0,0,0,0,0,0,0
"43",375383,"LegaSalvini","4/20/21 16:39","🟥 CARCERI, #LEGA: SOLIDARIETÀ A SOVRINTENDENTE AGGREDITO AD ALGHERO, ACCELERARE SU #TASER E BODYCAM
https://www.facebook.com/e.zoffili/photos/a.591816777547235/4148752785186932/?type=3 https://twitter.com/LegaSalvini/status/1384547158976782337/photo/1",1384547158976782336,"ITA","1436","LN","Lega Nord","North League","🟥 PRISONS, #LEAGUE: SOLIDARITY WITH SUPERINTENDENT ATTACKED IN ALGHERO, ACCELERATE ON #TASER AND BODYCAM
https://www.facebook.com/e.zoffili/photos/a.591816777547235/4148752785186932/?type=3 https://twitter.com/LegaSalvini/status/1384547158976782337/photo/1",0,0,0,0,1,0,0
"44",124338,"Platforma_org","2019-08-19 13:27:13",".@SchetynadlaPO: Dzisiaj wiemy, że ta kampania będzie inna. Musi być intensywna. Obiecuję, że będziemy wszędzie, w każdym powiecie, w każdej gminie i w każdym regionie. Mamy świetny program!
#KoalicjaObywatelska 
#DrużynaJutra",1163442293464059904,"POL","512.0","PO","Platforma Obywatelska","Civic Platform",".@SchetynadlaPO: Today we know that this campaign will be different. It has to be intense. I promise that we will be everywhere, in every district, in every commune and in every region. We have a great program!
#Civic Coalition 
#TeamTomorrow",0,0,0,0,0,0,0
"45",733388,"RNational_off","2016-12-09T11:50:59.000Z",".@nicolasbayfn : ""Il faut cesser de culpabiliser les automobilistes avec la #CirculationAlternée, qui paralyse l'économie."" @franceculture",807190806104838144,"FRA","270.0","FN","Rassemblement National","National Rally",".@nicolasbayfn: “We must stop blaming motorists with #Alternating Traffic, which paralyzes the economy.” @franceculture",0,0,0,0,0,0,0
"46",991549,"neos_eu","2021-09-03T11:58:16.000Z","„Wir brauchen Politiker_innen, die Verantwortung übernehmen und nicht Däumchen drehen, bis schon längst Feuer am Dach ist. Die BReg hat auch im zweiten Sommer Chancen ausgelassen und mit Blick auf Wahlumfragen lieber die Füße stillgehalten.“ @GLoacker https://t.co/fOEB1WlNWx",1433761255890825216,"AUT","2255.0","NEOS","NEOS – Das Neue Österreich","NEOS -- The New Austria","“We need politicians who take responsibility and don’t twiddle their thumbs until there’s a fire on the roof. The BReg also missed opportunities in the second summer and preferred to keep its feet still in view of election polls.” @GLoacker https://t.co/fOEB1WlNWx",0,0,0,0,0,0,0
"47",123439,"Platforma_org","2019-06-24 09:47:10","O godz. 13:45 w świetlicy wiejskiej w Gołaszynie konferencja prasowa przewodniczącego 
@SchetynadlaPO oraz samorządowców. Zapraszamy! https://twitter.com/Platforma_org/status/1143093196681031680/photo/1",1143093196681031552,"POL","512.0","PO","Platforma Obywatelska","Civic Platform","At 1:45 p.m. press conference of the chairman in the village community center in Gołaszyn 
@SchetynadlaPO and local government officials. We invite you! https://twitter.com/Platforma_org/status/1143093196681031680/photo/1",0,0,0,0,0,0,0
"48",372238,"LegaSalvini","3/2/21 22:09","++ MATTEO #SALVINI A QUARTA REPUBBLICA: 2 MINUTI DA ASCOLTARE ++
https://www.facebook.com/legasalvinipremier/videos/177509157258755/",1366873214153064448,"ITA","1436","LN","Lega Nord","North League","++ MATTEO #SALVINI AT QUARTA REPUBBLICA: 2 MINUTES TO LISTEN ++
https://www.facebook.com/legasalvinipremier/videos/177509157258755/",0,0,0,0,0,0,0
"49",201004,"pisorgpl","2021-04-29 09:53:47","Minister @MI_GOV_PL @AMAdamczyk w #Warszawa: Mamy nadzieję, że po pandemii #COVID19, nasz przewoźnik narodowy @PKPIntercityPDP będzie mógł być dumny z ilości przewożonych pasażerów.",1387706673129742336,"POL","528.0","PiS","Prawo i Sprawiedliwość","Law and Justice","Minister @MI_GOV_PL @AMAdamczyk in #Warsaw: We hope that after the #COVID19 pandemic, our national carrier @PKPIntercityPDP will be proud of the number of passengers it transports.",0,0,0,0,1,0,0
"50",795564,"franceinsoumise","2021-11-30T11:54:07.000Z","🔴 Rendez-vous ce mercredi 1er décembre à 11h pour la présentation en direct de la prochaine niche parlementaire de @FiAssemblee.

👉Le direct sur Youtube : https://t.co/BC0xI9fPjh

📱 Participez et réagissez avec #LoisFi2022 https://t.co/FeBMQdDcxM",1465650346936647680,"FRA","2644.0","FI","La France Insoumise","Unbowed France","🔴 See you this Wednesday, December 1 at 11 a.m. for the live presentation of the next parliamentary niche of @FiAssemblee.

👉Live on Youtube: https://t.co/BC0xI9fPjh

📱 Participate and react with #LoisFi2022 https://t.co/FeBMQdDcxM",0,0,0,0,0,0,0
"51",971392,"neos_eu","2017-01-11T17:43:22.000Z","@L4ndvogt @MartinThuer ja",819238283393826816,"AUT","2255.0","NEOS","NEOS – Das Neue Österreich","NEOS -- The New Austria","@L4ndvogt @MartinThuer yes",0,0,0,0,0,0,0
"52",602444,"Plaid_Cymru","2022-03-16T07:58:06.000Z","❤️ Gofal plant am ddim gam yn nes

🤝 Drwy gydweithio gyda’r Llywodraeth...

🚸 Mae Plaid Cymru yn falch o fod wedi sicrhau y bydd gan 2,500 yn fwy o blant dan 4 oed fynediad at y rhaglen Dechrau'n Deg...

🏴󠁧󠁢󠁷󠁬󠁳󠁿 ... gyda phwyslais arbennig ar gryfhau darpariaeth cyfrwng Cymraeg https://t.co/4jnHErY2XX",1504004064509583104,"GBR","311.0","Plaid","Plaid Cymru","Plaid Cymru","❤️ Gofal plant am ddim gam yn nes

🤝 Drwy gydweithio gyda’r Llywodraeth...

🚸 Mae Plaid Cymru yn falch o fod wedi sicrhau y bydd gan 2,500 yn fwy o blant dan 4 oed fynediad at y rhaglen Dechrau'n Deg...

🏴󠁧󠁢󠁷󠁬󠁳󠁿 ... gyda phwyslais arbennig ar gryfhau darpariaeth cyfrwng Cymraeg https://t.co/4jnHErY2XX",0,0,0,0,0,0,0
"53",399715,"LegaSalvini","10/1/22 18:39","++ GOVERNO, LA #LEGA: “SARÀ LA LEGISLATURA CHE ATTUERÀ L’#AUTONOMIA REGIONALE” ++

Dopo trent’anni di battaglie, questa sarà la legislatura che finalmente attuerà quell’Autonomia delle Regioni che la Costituzione prevede. È nel programma… https://www.facebook.com/503150251166672/posts/657959165685779 https://twitter.com/LegaSalvini/status/1576280543402102784/photo/1",1576280543402102784,"ITA","1436","LN","Lega Nord","North League","++ GOVERNMENT, THE #LEAGUE: ""IT WILL BE THE LEGISLATION THAT WILL IMPLEMENT REGIONAL #AUTONOMY"" ++

After thirty years of battles, this will be the legislature that will finally implement the Autonomy of the Regions that the Constitution provides for. It's in the program… https://www.facebook.com/503150251166672/posts/657959165685779 https://twitter.com/LegaSalvini/status/1576280543402102784/photo/1",0,0,0,0,0,0,0
"54",452284,"SI_sinistra","10/24/12 22:12","E con la platea di questa bella serata di politica a Matera, vi auguriamo una serena notte :) http://fb.me/1008esrTQ",261228734227558400,"ITA","465","S","Sinistra","Left","And with the audience of this beautiful evening of politics in Matera, we wish you a peaceful night :) http://fb.me/1008esrTQ",0,0,0,0,0,0,0
"55",232956,"LegaSalvini","9/17/14 18:42","INDIPENDENCE DAY

Tutte le anticipazioni su http://www.lapadania.net http://fb.me/3wAv8ALsg",512310647624060864,"ITA","1436","LN","Lega Nord","North League","INDEPENDENCE DAY
All the previews on http://www.lapadania.net http://fb.me/3wAv8ALsg",0,0,0,0,0,0,0
"56",897301,"pcf","2017-03-01T10:27:46.000Z","@plaurent_pcf en visite au Salon de l'Agriculture. Rencontres, visites et interviews. #SIA2017 https://t.co/QNGld1XNfx",836885668898951040,"FRA","686.0","PCF","Parti communiste française","French Communist Party","@plaurent_pcf visiting the Salon de l'Agriculture. Meetings, visits and interviews. #SIA2017 https://t.co/QNGld1XNfx",0,0,0,0,0,0,0
"57",675970,"theSNP","2014-08-20T19:03:51.000Z","""@kdugdalemsp will be a big force in an independent Scottish Parliament"" -  @NicolaSturgeon has high regard for the Labour MSP #LeithDebate.",502169155676942400,"GBR","1284.0","SNP","Scottish National Party – Pàrtaidh Nàiseanta na h-Alba","Scottish National Party","""@kdugdalemsp will be a big force in an independent Scottish Parliament"" -  @NicolaSturgeon has high regard for the Labour MSP #LeithDebate.",0,0,0,0,0,0,1
"58",270068,"LegaSalvini","10/12/16 19:10","++ IL PIÙ LETTO DI OGGI ++
Il vescovo di Matera: ""Ai profughi le case sfitte"" http://fb.me/7XAUZnDQP",786282827339927552,"ITA","1436","LN","Lega Nord","North League","++ MOST READ TODAY ++
The bishop of Matera: ""Vacant houses for refugees"" http://fb.me/7XAUZnDQP",0,0,0,0,0,0,0
"59",951122,"neos_eu","2013-10-29T09:22:14.000Z","@JuergenSX Selektivität! Den Rest müsst ihr uns so glauben ;) (foto nachgereicht)  @BogDudek http://t.co/6icueKchA2",395118368841555968,"AUT","2255.0","NEOS","NEOS – Das Neue Österreich","NEOS -- The New Austria","@JuergenSX Selectivity! You'll have to believe the rest ;) (photo submitted later) @BogDudek http://t.co/6icueKchA2",0,0,0,0,0,0,0
"60",655001,"UKLabour","2015-07-17T11:03:01.000Z","Which of these rights does David Cameron disagree with? Sign and protect the Human Rights Act: http://t.co/q2gwIekyVq http://t.co/v3ccelNR6I",621998533340590080,"GBR","1556.0","Lab","Labour Party","Labour","Which of these rights does David Cameron disagree with? Sign and protect the Human Rights Act: http://t.co/q2gwIekyVq http://t.co/v3ccelNR6I",0,0,0,0,0,0,0
